code,description,icon,value,unit,size,legacy_code,legacy_description,type,target_model
C32_2,Nopeusrajoitus 20,C32_2.svg,20,km/h,,3619,,,traffic_sign
C32_3,Nopeusrajoitus 30,C32_3.svg,30,km/h,,3617,,,traffic_sign
C32_4,Nopeusrajoitus 40,C32_4.svg,40,km/h,,3618,,,traffic_sign
C32_5,Nopeusrajoitus 50,C32_5.svg,50,km/h,,3611,,,traffic_sign
C32_6,Nopeusrajoitus 70,C32_6.svg,70,km/h,,3613,,,traffic_sign
C32_7,Nopeusrajoitus 80,C32_7.svg,80,km/h,,3614,,,traffic_sign
C32_8,Nopeusrajoitus 100,C32_8.svg,100,km/h,,3615,,,traffic_sign
C32_9,Nopeusrajoitus 120,C32_9.svg,120,km/h,,3616,,,traffic_sign
C33,Nopeusrajoitus päättyy 40,C33.svg,40,km/h,,3623,Nopeusrajoitus päättyy,,traffic_sign
C33_2,Nopeusrajoitus päättyy 20,C33_2.svg,20,km/h,,,,,traffic_sign
C33_3,Nopeusrajoitus päättyy 30,C33_3.svg,30,km/h,,3622,,,traffic_sign
C33_4,Nopeusrajoitus päättyy 50,C33_4.svg,50,km/h,,3621,,,traffic_sign
C33_5,Nopeusrajoitus päättyy 60,C33_5.svg,60,km/h,,,,,traffic_sign
C33_6,Nopeusrajoitus päättyy 70,C33_6.svg,70,km/h,,,,,traffic_sign
C34,Nopeusrajoitusalue 40,C34.svg,40,km/h,,3635,Nopeusrajoitusalue,,traffic_sign
C34_2,Nopeusrajoitusalue 30,C34_2.svg,30,km/h,,3633,,,traffic_sign
C34_2p,Nopeusrajoitusalue 30,,30,km/h,S,3634,,,traffic_sign
C34_3,Nopeusrajoitusalue 50,C34_3.svg,50,km/h,,,,,traffic_sign
C34_3p,Nopeusrajoitusalue  50,,50,km/h,S,,,,traffic_sign
C34p,Nopeusrajoitusalue 40,,40,km/h,S,3636,,,traffic_sign
C35,Nopeusrajoitusalue päättyy 40,C35.svg,40,km/h,,3645,Nopeusrajoitusalue päättyy,,traffic_sign
C35_2,Nopeusrajoitusalue päättyy 30,C35_2.svg,30,km/h,,3643,,,traffic_sign
C35_2p,Nopeusrajoitusalue päättyy 30,,30,km/h,S,3644,,,traffic_sign
C35_3,Nopeusrajoitusalue päättyy 50,C35_3.svg,50,km/h,,,,,traffic_sign
C35_3p,Nopeusrajoitusalue päättyy 50,,50,km/h,S,,,,traffic_sign
C35p,Nopeusrajoitusalue päättyy 40,,40,km/h,S,3646,,,traffic_sign
C36,"Ajokaistakohtainen kielto, rajoitus tai määräys",C36_7.svg,,,,,,,traffic_sign
C37,Pysäyttäminen kielletty,C37.svg,,,,371,Pysäyttäminen kielletty,,traffic_sign
C38,Pysäköinti kielletty,C38.svg,,,,372,Pysäköinti kielletty,,traffic_sign
C39,Pysäköintikieltoalue,C39.svg,,,,3731,Pysäköintikieltoalue,,traffic_sign
C39p,Pysäköintikieltoalue,,,,S,3732,,,traffic_sign
C4,Ajoneuvoyhdistelmällä ajo kielletty,C4.svg,,,,314,Ajoneuvoyhdistelmällä ajo kielletty,,traffic_sign
C40,Pysäköintikieltoalue päättyy,C40.svg,,,,3741,Pysäköintikieltoalue päättyy,,traffic_sign
C40p,Pysäköintikieltoalue päättyy,,,,S,3742,,,traffic_sign
C41,Taksiasema-alue,C41.svg,,,,375,Taksiasema-alue,,traffic_sign
C42,Taksin pysäyttämispaikka,C42.svg,,,,376,Taksin pysähtymispaikka,,traffic_sign
C43,Kuormauspaikka,C43.svg,,,,,,,traffic_sign
C43_2,Kuormauspaikka,C43_2.svg,,,,,,,traffic_sign
C44.1,Vuoropysäköinti (kielletty parittomina päivinä),C44.1.svg,,,,381,Vuoropysäköinti (kielletty parittomina päivinä),,traffic_sign
C44.2,Vuoropysäköinti (kielletty parillisina päivinä),C44.2.svg,,,,382,Vuoropysäköinti (kielletty parillisina päivinä),,traffic_sign
C45,Pakollinen pysäyttäminen tullitarkastusta varten,C45.svg,,,,391,Pakollinen pysäyttäminen tulliasemalla,,traffic_sign
C45_2,Pakollinen pysäyttäminen tullitarkastusta varten,C45_2.svg,,,,,,,traffic_sign
C45_3,Pakollinen pysäyttäminen tullitarkastusta varten,C45_3.svg,,,,,,,traffic_sign
C46,Pakollinen pysäyttäminen tarkastusta varten,C46.svg,,,,392,Pakollinen pysäyttäminen tarkastusta varten,,traffic_sign
C46_2,Pakollinen pysäyttäminen tarkastusta varten,C46_2.svg,,,,,,,traffic_sign
C46_3,Pakollinen pysäyttäminen tarkastusta varten,C46_3.svg,,,,,,,traffic_sign
C46_4,Pakollinen pysäyttäminen tarkastusta varten,C46_4.svg,,,,,,,traffic_sign
C47,Moottorikäyttöisten ajoneuvojen vähimmäisetäisyys,C47.svg,,,,393,Moottorikäyttöisten ajoneuvojen vähimmäisetäisyys,,traffic_sign
C48,Nastarenkailla varustetulla moottorikäyttöisellä ajoneuvolla ajo kielletty,C48.svg,,,,,,,traffic_sign
C5,Traktorilla ajo kielletty,C5.svg,,,,315,Traktorilla ajo kielletty,,traffic_sign
C6,Moottoripyörällä ajo kielletty,C6.svg,,,,316,Moottoripyörällä ajo kielletty,,traffic_sign
C7,Moottorikelkalla ajo kielletty,C7.svg,,,,317,Moottorikelkalla ajo killetty,,traffic_sign
C8,Vaarallisten aineiden kuljetus kielletty,C8.svg,,,,318,Vaarallisten aineiden kuljetus kielletty,,traffic_sign
C9,Linja-autolla ajo kielletty,C9.svg,,,,319,Linja-autolla ajo kielletty,,traffic_sign
D10,Vähimmäisnopeus,D10.svg,50,km/h,,,,,traffic_sign
D10_2,Vähimmäisnopeus,D10_2.svg,60,km/h,,,,,traffic_sign
D10_3,Vähimmäisnopeus,D10_3.svg,70,km/h,,,,,traffic_sign
D10_4,Vähimmäisnopeus,D10_4.svg,80,km/h,,,,,traffic_sign
D1.1,Pakollinen ajosuunta oikealle,D1.1.svg,,,,4111,Pakollinen ajosuunta oikealle,,traffic_sign
D11,Vähimmäisnopeus päättyy,D11.svg,50,km/h,,,,,traffic_sign
D11_2,Vähimmäisnopeus päättyy,D11_2.svg,60,km/h,,,,,traffic_sign
D11_3,Vähimmäisnopeus päättyy,D11_3.svg,70,km/h,,,,,traffic_sign
D11_4,Vähimmäisnopeus päättyy,D11_4.svg,80,km/h,,,,,traffic_sign
D1.2,Pakollinen ajosuunta vasemmalle,D1.2.svg,,,,4112,Pakollinen ajosuunta vasemmalle,,traffic_sign
D1.3,Pakollinen ajosuunta suoraan,D1.3.svg,,,,412,Pakollinen ajosuunta suoraan,,traffic_sign
D1.4,Pakollinen ajosuunta kääntyminen oikealle,D1.4.svg,,,,4131,Pakollinen ajosuunta kääntyen oikealle,,traffic_sign
D1.4_2,Pakollinen ajosuunta,D1.4_2.svg,,,,4132,Pakollinen ajosuunta kääntyen etuoikealle,,traffic_sign
D1.4_3,Pakollinen ajosuunta,D1.4_3.svg,,,,4133,Pakollinen ajosuunta kääntyen takaoikealle,,traffic_sign
D1.5,Pakollinen ajosuunta kääntyminen vasemmalle,D1.5.svg,,,,4135,Pakollinen ajosuunta vasemmalle,,traffic_sign
D1.5_2,Pakollinen ajosuunta,D1.5_2.svg,,,,4134,Pakollinen ajosuunta etuvasemmalle,,traffic_sign
D1.5_3,Pakollinen ajosuunta,D1.5_3.svg,,,,4136,Pakollinen ajosuunta takavasemmalle,,traffic_sign
D1.6,Pakollinen ajosuunta suoraan tai kääntyminen oikealle,D1.6.svg,,,,4141,Pakollinen ajosuunta suoraan ja oikealle,,traffic_sign
D1.6_2,Pakollinen ajosuunta,D1.6_2.svg,,,,4142,Pakollinen ajosuunta suoraan ja takaoikelle,,traffic_sign
D1.6_3,Pakollinen ajosuunta,D1.6_3.svg,,,,4143,Pakollinen ajosuunta etu- ja takaoikealle,,traffic_sign
D1.7,Pakollinen ajosuunta suoraan tai kääntyminen vasemmalle,D1.7.svg,,,,4144,Pakollinen ajosuunta suoraan ja vasemmalle,,traffic_sign
D1.7_2,Pakollinen ajosuunta,D1.7_2.svg,,,,4145,Pakollinen ajosuunta suoraan ja takavasemmalle,,traffic_sign
D1.7_3,Pakollinen ajosuunta,D1.7_3.svg,,,,4146,Pakollinen ajosuunta etu- ja takavasemmalle,,traffic_sign
D1.8,Pakollinen ajosuunta kääntyminen oikealle tai vasemmalle,D1.8.svg,,,,415,Pakollinen ajosuunta  oikealle tai vasemmalle,,traffic_sign
D1.9,Pakollinen ajosuunta suoraan tai kääntyminen oikealle tai vasemmalle,D1.9.svg,,,,4147,"Pakollinen ajosuunta suoran, oikealle,vasemmalle",,traffic_sign
D2,Pakollinen kiertosuunta,D2.svg,,,,,Pakollinen kiertosuunta,,traffic_sign
D3.1,Liikenteenjakaja oikea,D3.1.svg,,,,4171,Liikenteenjakaja,,traffic_sign
D3.1_2,Liikenteenjakaja,,,,,,,,traffic_sign
D3.2,Liikenteenjakaja vasen,D3.2.svg,,,,4172,Liikenteenjakaja,,traffic_sign
D3.2_2,Liikenteenjakaja,D3.2_2.svg,,,,,,,traffic_sign
