wkt_geom;fid;piirustusnumero;decision_id;diaari
MultiPolygon (((25497042.58749999478459358 6678849.18958332948386669, 25496973.79583332315087318 6678806.32708332967013121, 25496909.76666665822267532 6678797.33124999701976776, 25496854.73333333060145378 6678782.51458332967013121, 25496858.96666665747761726 6678753.41041666269302368, 25497002.89999999478459358 6678788.33541666250675917, 25497038.88333332166075706 6678756.58541666343808174, 25497084.39166665822267532 6678787.27708332985639572, 25497068.51666665822267532 6678820.61458332929760218, 25497042.58749999478459358 6678849.18958332948386669)));21;0;2013-134;HEL 2013-012239
MultiPolygon (((25492411.294921875 6678938.64531250204890966, 25492401.76992187649011612 6678899.22239583544433117, 25492394.49388020858168602 6678901.27291666809469461, 25492403.1920572929084301 6678940.33203125186264515, 25492411.294921875 6678938.64531250204890966)),((25497678.28020832687616348 6674119.12395833246409893, 25497669.94583332538604736 6674105.49791666585952044, 25497657.77499999478459358 6674110.52499999944120646, 25497666.24166665971279144 6674125.4739583320915699, 25497678.28020832687616348 6674119.12395833246409893)),((25496195.06354167684912682 6671981.67552083544433117, 25496208.16041667759418488 6671990.00989583507180214, 25496209.8802083432674408 6671987.1656250013038516, 25496197.04791666939854622 6671978.83125000074505806, 25496195.06354167684912682 6671981.67552083544433117)),((25495210.4661458395421505 6679624.02656250167638063, 25495218.7343750074505806 6679627.1354166679084301, 25495223.23229167237877846 6679617.41197916772216558, 25495214.63333334028720856 6679613.5093750013038516, 25495210.4661458395421505 6679624.02656250167638063)),((25500659.58229169249534607 6679546.04270833265036345, 25500663.22031252086162567 6679520.11354166455566883, 25500647.01458333805203438 6679518.12916666641831398, 25500644.50104169175028801 6679543.66145833302289248, 25500659.58229169249534607 6679546.04270833265036345)),((25501232.71041667088866234 6675451.29583333060145378, 25501195.13958333432674408 6675485.82395832985639572, 25501202.28333333507180214 6675492.04166666325181723, 25501239.58958333358168602 6675455.79374999646097422, 25501232.71041667088866234 6675451.29583333060145378)),((25502693.64322917908430099 6677290.67604166641831398, 25502692.91562501341104507 6677293.38802083302289248, 25502696.88437501341104507 6677293.45416666567325592, 25502697.54583334922790527 6677290.94062499981373549, 25502693.64322917908430099 6677290.67604166641831398)),((25504299.67500000447034836 6683281.31562499981373549, 25504292.26666667684912682 6683284.09374999906867743, 25504297.95520834252238274 6683291.50208333320915699, 25504304.56979167461395264 6683289.38541666604578495, 25504299.67500000447034836 6683281.31562499981373549)),((25493609.50625000521540642 6679958.10625000018626451, 25493609.24166667461395264 6679969.74791666679084301, 25493637.5520833395421505 6679976.36249999981373549, 25493638.61041667312383652 6679964.45625000074505806, 25493609.50625000521540642 6679958.10625000018626451)));22;0;2013-176;HEL 2013-015986
MultiPolygon (((25496237.00892004370689392 6674622.45835018157958984, 25496206.18825384974479675 6674627.79019538778811693, 25496210.99991903454065323 6674657.18036652728915215, 25496239.34973013401031494 6674670.96513706166297197, 25496327.52024355530738831 6674697.1041830750182271, 25496329.34087362512946129 6674700.09521819092333317, 25496330.12114365771412849 6674708.28805350884795189, 25496343.12564416229724884 6674711.92931364942342043, 25496345.33640924841165543 6674705.0369283827021718, 25496349.10771439224481583 6674701.26562323607504368, 25496453.01367342099547386 6674733.38673948217183352, 25496509.06307059526443481 6674744.44056491088122129, 25496669.27851680666208267 6674791.12672172021120787, 25496704.13057815656065941 6674819.476532818749547, 25496711.67318844795227051 6674824.9384230300784111, 25496788.26969641447067261 6674884.49903533980250359, 25496855.50296401977539063 6674937.5573973972350359, 25496871.75858964771032333 6674909.4676763080060482, 25496864.4760693684220314 6674903.09547105990350246, 25496863.32880250737071037 6674897.99650706350803375, 25496862.13525927811861038 6674892.69187065679579973, 25496871.54074082151055336 6674846.60027606133371592, 25496949.13536765053868294 6674853.28823412954807281, 25497041.20723121985793114 6674857.96985431201756001, 25497041.85745624452829361 6674832.87116833869367838, 25496901.2171291746199131 6674825.94640239607542753, 25496876.1801198236644268 6674823.76801798492670059, 25496858.3584115281701088 6674820.08152524475008249, 25496809.0144931860268116 6674805.08097406383603811, 25496691.90634768083691597 6674770.96974593959748745, 25496565.76269278675317764 6674734.42709952406585217, 25496453.40380843728780746 6674701.52571324817836285, 25496354.69964960962533951 6674674.34630719479173422, 25496266.52913619205355644 6674648.987531210295856, 25496248.58292549476027489 6674640.66465088818222284, 25496237.00892004370689392 6674622.45835018157958984)));23;7092;2020-70;HEL 2020-007997
MultiPolygon (((25498889.79374999552965164 6678167.75416666734963655, 25498897.33437500149011612 6678141.29583333432674408, 25498905.80104166641831398 6678143.28020833432674408, 25498898.39270833507180214 6678169.47395833395421505, 25498889.79374999552965164 6678167.75416666734963655)));24;0;2012-6;HEL 2012-000048
MultiPolygon (((25491288.45208334550261497 6681121.79791666567325592, 25491279.98541667684912682 6681084.75624999962747097, 25491298.50625000894069672 6681073.64374999888241291, 25491318.6145833432674408 6681154.60624999925494194, 25491297.4479166753590107 6681143.49374999944120646, 25491288.45208334550261497 6681121.79791666567325592)));25;0;2011-10066;HEL 2011-007377
MultiPolygon (((25507701.7974935956299305 6678800.7654656395316124, 25507701.30805875733494759 6678797.67529569566249847, 25507699.88766353949904442 6678794.88761311676353216, 25507697.67534611746668816 6678792.67529569566249847, 25507694.88766353949904442 6678791.25490047689527273, 25507691.7974935956299305 6678790.7654656395316124, 25507688.70732365176081657 6678791.25490047689527273, 25507685.91964107379317284 6678792.67529569566249847, 25507683.70732365176081657 6678794.88761311676353216, 25507682.28692843392491341 6678797.67529569566249847, 25507681.7974935956299305 6678800.7654656395316124, 25507682.28692843392491341 6678803.85563558340072632, 25507683.70732365176081657 6678806.64331816229969263, 25507685.91964107379317284 6678808.85563558340072632, 25507688.70732365176081657 6678810.27603080216795206, 25507691.7974935956299305 6678810.7654656395316124, 25507694.88766353949904442 6678810.27603080216795206, 25507697.67534611746668816 6678808.85563558340072632, 25507699.88766353949904442 6678806.64331816229969263, 25507701.30805875733494759 6678803.85563558340072632, 25507701.7974935956299305 6678800.7654656395316124)));26;0;2015-10;HEL 2015-000598
MultiPolygon (((25497075.3519061878323555 6677975.61811726354062557, 25497074.86247134953737259 6677972.52794731967151165, 25497073.44207613170146942 6677969.74026474077254534, 25497071.22975870966911316 6677967.52794731967151165, 25497068.44207613170146942 6677966.10755210090428591, 25497065.3519061878323555 6677965.61811726354062557, 25497062.26173624396324158 6677966.10755210090428591, 25497059.47405366599559784 6677967.52794731967151165, 25497057.26173624396324158 6677969.74026474077254534, 25497055.84134102612733841 6677972.52794731967151165, 25497055.3519061878323555 6677975.61811726354062557, 25497055.84134102612733841 6677978.70828720740973949, 25497057.26173624396324158 6677981.49596978630870581, 25497059.47405366599559784 6677983.70828720740973949, 25497062.26173624396324158 6677985.12868242617696524, 25497065.3519061878323555 6677985.61811726354062557, 25497068.44207613170146942 6677985.12868242617696524, 25497071.22975870966911316 6677983.70828720740973949, 25497073.44207613170146942 6677981.49596978630870581, 25497074.86247134953737259 6677978.70828720740973949, 25497075.3519061878323555 6677975.61811726354062557)));27;0;2014-76;HEL 2014-004276
MultiPolygon (((25501049.72361826151609421 6681894.53992750681936741, 25501049.2341834232211113 6681891.44975756295025349, 25501047.81378820538520813 6681888.66207498405128717, 25501045.60147078335285187 6681886.44975756295025349, 25501042.81378820538520813 6681885.02936234418302774, 25501039.72361826151609421 6681884.53992750681936741, 25501036.63344831764698029 6681885.02936234418302774, 25501033.84576573967933655 6681886.44975756295025349, 25501031.63344831764698029 6681888.66207498405128717, 25501030.21305309981107712 6681891.44975756295025349, 25501029.72361826151609421 6681894.53992750681936741, 25501030.21305309981107712 6681897.63009745068848133, 25501031.63344831764698029 6681900.41778002958744764, 25501033.84576573967933655 6681902.63009745068848133, 25501036.63344831764698029 6681904.05049266945570707, 25501039.72361826151609421 6681904.53992750681936741, 25501042.81378820538520813 6681904.05049266945570707, 25501045.60147078335285187 6681902.63009745068848133, 25501047.81378820538520813 6681900.41778002958744764, 25501049.2341834232211113 6681897.63009745068848133, 25501049.72361826151609421 6681894.53992750681936741)));28;0;2014-81;HEL 2014-004535
MultiPolygon (((25500728.71666666492819786 6681997.91822916828095913, 25500724.49986979365348816 6681993.63528645969927311, 25500732.8177083320915699 6681985.6812500013038516, 25500737.24947916343808174 6681990.04687500093132257, 25500728.71666666492819786 6681997.91822916828095913)));29;0;2020-85;HEL 2020-010707
MultiPolygon (((25496282.55314809828996658 6672388.60448718536645174, 25496352.11800587177276611 6672288.59753159713000059, 25496364.41169067099690437 6672296.83091682940721512, 25496294.25873704627156258 6672397.09775890316814184, 25496282.55314809828996658 6672388.60448718536645174)));30;7061;2020-49;HEL 2020-005610
MultiPolygon (((25496520.55993292480707169 6672053.09372531529515982, 25496542.53130603209137917 6672068.27357836160808802, 25496529.7024918906390667 6672085.82861490547657013, 25496547.20540009438991547 6672099.10077505558729172, 25496535.4422285333275795 6672115.95437650289386511, 25496495.8252374678850174 6672087.58247936703264713, 25496520.55993292480707169 6672053.09372531529515982)));31;7660;2024-78;HEL 2024-008152
MultiPolygon (((25497214.43677002191543579 6675330.69338584505021572, 25497167.08168073371052742 6675370.83330040611326694, 25497131.11764181032776833 6675325.6725825946778059, 25497156.15611734241247177 6675297.91963164601475, 25497160.47500917688012123 6675294.61313711572438478, 25497182.99482677131891251 6675277.37221951968967915, 25497207.60374920070171356 6675277.85310988873243332, 25497240.23407205939292908 6675252.14971342962235212, 25497270.81514732912182808 6675230.23457184247672558, 25497298.01067143678665161 6675213.76485817972570658, 25497321.22019138932228088 6675201.69586606789380312, 25497341.48168132454156876 6675192.51707539614289999, 25497368.87812431156635284 6675181.82974490057677031, 25497368.87812431156635284 6675181.82974490057677031, 25497375.21192244440317154 6675068.17548045422881842, 25497402.98728436231613159 6675068.34118750225752592, 25497397.66333713009953499 6675173.36883583944290876, 25497410.98750181123614311 6675170.1157121928408742, 25497427.71370198577642441 6675166.16740628145635128, 25497454.84643721953034401 6675161.50717435404658318, 25497474.31537801399827003 6675159.37045702990144491, 25497487.88470593839883804 6675158.03206724766641855, 25497523.95300325751304626 6675157.30696631222963333, 25497541.6556432843208313 6675157.27840606030076742, 25497541.97701789811253548 6675152.40646540652960539, 25497558.92272108420729637 6675152.39038197137415409, 25497558.77412968873977661 6675157.35431722365319729, 25497700.0105585977435112 6675158.02457729075103998, 25497703.68266548588871956 6675152.47410809248685837, 25497703.1315646804869175 6675151.00117965787649155, 25497721.06122023612260818 6675146.91098806168884039, 25497724.38585932180285454 6675155.15337500534951687, 25497725.54891544952988625 6675158.14940561819821596, 25497891.37936865910887718 6675158.47572657838463783, 25497894.89622160792350769 6675150.02948233671486378, 25497929.07310548052191734 6675152.28704662341624498, 25497939.99484575167298317 6675154.47135979495942593, 25497953.12497187405824661 6675153.67774027492851019, 25497987.59817381203174591 6675143.95915968250483274, 25497983.8498833067715168 6675128.77744734194129705, 25498012.79039552062749863 6675120.70347475074231625, 25498017.16060485318303108 6675136.65391361340880394, 25498034.07400096952915192 6675131.97028949670493603, 25498038.84354732930660248 6675149.32481385860592127, 25498021.37329276651144028 6675154.09085299447178841, 25498022.52059059590101242 6675158.82527179922908545, 25497992.84558555483818054 6675167.15254860185086727, 25497991.56320310011506081 6675161.78631538432091475, 25497946.65615702420473099 6675172.74370080977678299, 25497848.51293092221021652 6675193.93015101458877325, 25497836.61391663551330566 6675189.01324648316949606, 25497806.8385753445327282 6675188.64862404391169548, 25497786.61676537618041039 6675188.6788857402279973, 25497758.95573299378156662 6675188.43648526538163424, 25497741.04009032621979713 6675188.24114959686994553, 25497646.52947546914219856 6675187.88260158058255911, 25497574.7827741913497448 6675187.69146874081343412, 25497572.34202869981527328 6675191.75112804025411606, 25497576.06244631484150887 6675197.85425606463104486, 25497558.89225800335407257 6675204.27213267143815756, 25497548.34786683320999146 6675187.6599489850923419, 25497523.65468228980898857 6675187.47927466221153736, 25497504.35849187895655632 6675187.88861389737576246, 25497485.1175435297191143 6675188.46284388098865747, 25497466.57273132726550102 6675190.2502239253371954, 25497447.7618621289730072 6675193.17837496101856232, 25497429.49509835988283157 6675196.10568268224596977, 25497394.01041660085320473 6675205.17935105971992016, 25497392.5473211295902729 6675234.57478130888193846, 25497374.43143267929553986 6675235.34206497762352228, 25497375.15894631668925285 6675221.42571785766631365, 25497369.36241090670228004 6675217.34658474568277597, 25497366.10896458104252815 6675215.05707223527133465, 25497338.47557585686445236 6675227.15087736677378416, 25497318.51629767939448357 6675236.92565038613975048, 25497311.42345747351646423 6675240.88838563486933708, 25497298.38802531734108925 6675248.17121776193380356, 25497289.76527654007077217 6675252.98870509769767523, 25497269.81523263454437256 6675268.17162442207336426, 25497240.77288653329014778 6675290.27420984394848347, 25497205.88318808749318123 6675319.61789171304553747, 25497214.97729402408003807 6675330.23597724922001362, 25497214.43677002191543579 6675330.69338584505021572)));32;7173;2024-77;HEL 2024-005325
MultiPolygon (((25497330.1196613535284996 6675429.81704485602676868, 25497349.1707007922232151 6675448.86808429379016161, 25497371.11873604729771614 6675431.77044606301933527, 25497435.3766542449593544 6675381.71317027602344751, 25497425.8511345274746418 6675369.80627062730491161, 25497444.9021739661693573 6675355.04171506315469742, 25497460.61928150430321693 6675342.65853942930698395, 25497492.29163456708192825 6675321.22612006217241287, 25497513.00963995605707169 6675309.31922041345387697, 25497591.59517763555049896 6675264.54927773680537939, 25497594.69097154214978218 6675264.31113974377512932, 25497595.88166150823235512 6675266.21624368708580732, 25497605.16904323548078537 6675281.21893724426627159, 25497607.3122851699590683 6675284.7910071387887001, 25497624.45822066441178322 6675276.69431537762284279, 25497620.64801277592778206 6675270.74086555372923613, 25497572.78227618709206581 6675191.6790518881753087, 25497574.92551812529563904 6675188.58325797971338034, 25497567.06696435809135437 6675169.53221854288130999, 25497538.25226720795035362 6675172.38987445831298828, 25497496.57811843976378441 6675173.34242643043398857, 25497455.61838364973664284 6675176.91449632402509451, 25497454.66583167761564255 6675192.39346586726605892, 25497466.57273132726550102 6675190.25022392999380827, 25497485.62377076223492622 6675189.05953396577388048, 25497504.35849187895655632 6675187.88861389737576246, 25497504.67481020092964172 6675187.86884400062263012, 25497524.67840161174535751 6675187.86884400062263012, 25497548.96847689151763916 6675188.10698199365288019, 25497558.89225800335407257 6675204.27213267143815756, 25497586.83241777494549751 6675249.78472217172384262, 25497532.77509337291121483 6675280.26638527307659388, 25497485.38563277199864388 6675306.9378404850140214, 25497444.4258979819715023 6675335.27626164723187685, 25497391.16414175927639008 6675378.06425850838422775, 25497330.1196613535284996 6675429.81704485602676868)));33;6351;2014-138;HEL 2013-008132
MultiPolygon (((25494591.32832914218306541 6677700.11792068649083376, 25494590.8388943038880825 6677697.02775074262171984, 25494589.41849908605217934 6677694.24006816372275352, 25494587.20618166401982307 6677692.02775074262171984, 25494584.41849908605217934 6677690.60735552385449409, 25494581.32832914218306541 6677690.11792068649083376, 25494578.23815919831395149 6677690.60735552385449409, 25494575.45047662034630775 6677692.02775074262171984, 25494573.23815919831395149 6677694.24006816372275352, 25494571.81776398047804832 6677697.02775074262171984, 25494571.32832914218306541 6677700.11792068649083376, 25494571.81776398047804832 6677703.20809063035994768, 25494573.23815919831395149 6677705.99577320925891399, 25494575.45047662034630775 6677708.20809063035994768, 25494578.23815919831395149 6677709.62848584912717342, 25494581.32832914218306541 6677710.11792068649083376, 25494584.41849908605217934 6677709.62848584912717342, 25494587.20618166401982307 6677708.20809063035994768, 25494589.41849908605217934 6677705.99577320925891399, 25494590.8388943038880825 6677703.20809063035994768, 25494591.32832914218306541 6677700.11792068649083376)));34;0;2015-91;HEL 2015-007162
MultiPolygon (((25493493.08229166269302368 6670836.1708333333954215, 25493498.63854166120290756 6670811.36614583432674408, 25493498.6881510354578495 6670811.21731770876795053, 25493523.11249999701976776 6670816.59166666679084301, 25493519.67291666567325592 6670830.2177083333954215, 25493517.02708332985639572 6670842.1239583333954215, 25493493.08229166269302368 6670836.1708333333954215)));35;0;2011-10003;HEL 2011-002271
MultiPolygon (((25503825.05721540004014969 6683084.83148041553795338, 25503824.56778056174516678 6683081.74131047166883945, 25503823.14738534390926361 6683078.95362789276987314, 25503820.93506792187690735 6683076.74131047166883945, 25503818.14738534390926361 6683075.32091525290161371, 25503815.05721540004014969 6683074.83148041553795338, 25503811.96704545617103577 6683075.32091525290161371, 25503809.17936287820339203 6683076.74131047166883945, 25503806.96704545617103577 6683078.95362789276987314, 25503805.5466502383351326 6683081.74131047166883945, 25503805.05721540004014969 6683084.83148041553795338, 25503805.5466502383351326 6683087.9216503594070673, 25503806.96704545617103577 6683090.70933293830603361, 25503809.17936287820339203 6683092.9216503594070673, 25503811.96704545617103577 6683094.34204557817429304, 25503815.05721540004014969 6683094.83148041553795338, 25503818.14738534390926361 6683094.34204557817429304, 25503820.93506792187690735 6683092.9216503594070673, 25503823.14738534390926361 6683090.70933293830603361, 25503824.56778056174516678 6683087.9216503594070673, 25503825.05721540004014969 6683084.83148041553795338)));36;0;2017-77;HEL 2017-005401
MultiPolygon (((25496596.65671620145440102 6673537.79668203834444284, 25496588.16730752214789391 6673530.44887728802859783, 25496572.86210357025265694 6673529.73742903582751751, 25496565.69388730451464653 6673536.79756160266697407, 25496565.55001286044716835 6673538.28593263402581215, 25496564.66173084080219269 6673547.47514788806438446, 25496538.55969393253326416 6673817.49889020808041096, 25496601.01067119836807251 6673818.0849721496924758, 25496596.8680945448577404 6673551.40428110305219889, 25496596.65671620145440102 6673537.79668203834444284)));37;6457;2015-85;HEL 2015-007072
