Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2013-113;6.9.2013;Asukaspysäköintipaikkojen lisääminen Fleminginkatu 20 ja 18 edustalle;HEL 2013-010346;Fleminginkatu 20;
2013-112;6.9.2013;CD-paikkojen merkitseminen Bulevadi 12 edustalle ja pysäyttämisen kieltäminen Eteläesplanadi 22 edustalla;HEL 2013-010397;Bulevardi, Eteläesplanadi ;
2013-111;6.9.2013;CD-paikkojen merkitseminen Tehtaankatu 34A edustalle ja asukaspysäköintipaikkojen lisääminen Erottajankatu 5 ja 7 edustalle;HEL 2013-010821;Tehtaankatu, Erottajankatu;
2013-116;6.9.2013;Tilkankadun yhdistetyn pyörätien ja jalkakäytävän muuttaminen jalkakäytäväksi;HEL 2013-010962;Tilkankatu, Tilkankadun vaaranpaikat;
2013-114;6.9.2013;CD-paikkojen merkitseminen Itäinen Puistotie 11 edustalle ja asukaspysäköintipaikkojen lisääminen Itäinen Puistotie 9 edustalle;HEL 2013-011186;Itäinen Puistotie ;
2013-115;6.9.2013;Päiväkoti Telkän huoltoliikennejärjestelyt Pajalahden puistossa;HEL 2013-011373;6225-4;
2013-118;13.9.2013;Nopeusrajoituksen alentaminen Panuntiellä ja Asesepäntiellä;HEL 2013-011161;Panuntie ja Asesepäntie;
2013-119;13.9.2013;Nopeusrajoituksen alentaminen Oulunkyläntiellä;HEL 2013-011162;Oulunkyläntie;
2013-120;13.9.2013;Pyöräkaista- ja pysäköintijärjestelyiden tarkistaminen Malmnkadulla;HEL 2013-011389;Malminkatu;
2013-121;13.9.2013;Spelttipuiston alueen liikenteen ohjaussuunnitelma;HEL 2013-011389;6230-4;
2013-123;13.9.2013;Pysäkki- ja pysäköintijärjetelyt Vattuniemenkadulla ja Melkonkujalla;HEL 2013-011539;Vattuniemenkatu ;
2013-124;13.9.2013;Töölöntorin torikauppiaiden pysäköinnin salliminen torialueella;HEL 2013-011647;Töölöntori;
2013-122;13.9.2013;Laulukujan liikenteen ohjaussuunnitelma;;;
2013-127;20.9.2013;Kantelettarentien liikennejärjestelyt Prisman kohdalla;HEL 2013-006069;6226-2;
2013-128;20.9.2013;Pysäköintijärjestelyt Kornetintie 10 ja 8 edustalla;HEL 2013-010433;Kornetintie ;
2013-126;20.9.2013;Mopolla ajon kieltäminen Ketjukujan ja Koulutuvantien välillä;HEL 2013-011006;Ketjukuja - Koulumestarintie;
2013-130;27.9.2013;Torpparinmäentien pysäköintijärjestelyt välillä Tiistellinginpolku Viskaalintie;HEL 2013-011461;6231-44;
2013-131;27.9.2013;Pysäköintitian varaaminen yhteiskäyttöautoille Töölöntorinkatu 11 edustalta;HEL 2013-011995;Töölöntorinkatu;
2013-133;27.9.2013;Ajoneuvon korkeuden rajoittaminen Mellunmäentiellä;HEL 2013-012235;Mellunmäentie;
2013-132;27.9.2013;Ajoneuvon korkeuden rajoittaminen Kaarelantiellä;HEL 2013-012236;Kaarelantie;
2013-134;27.9.2013;Ajoneuvon suurimman sallitun korkeuden merkitseminen ennakkomerkein Asesepäntielle, Mäkitorpantielle ja Panuntielle;HEL 2013-012239;Asesepäntie ;
2013-136;18.10.2013;Liikennejärjestelyt Abraham Wetterin tiellä välillä Roihuvuorentie Satumaanpolku;HEL 2013-002098;6247-2;
2013-141;18.10.2013;Pysäyttämiskielto- ja linja-autokaistajärjestelyt Runeberginkadulla Sammonpuistikon kohdalla ja pysäyttämisen kieltäinen Arkadiankatu 15 edustalla;HEL 2013-003451;6244-3, Arkadiankatu ;
2013-140;18.10.2013;Opastus Kappakeskus Kaaren pysäköintilaitokseen;HEL 2013-006069;6232-3;
2013-143;18.10.2013;Pysäyttämisen kieltäminen Sahaajankatu 5 edustalla;HEL 2013-013116;Sahaajankadun pysäköinti;
2013-138;18.10.2013;Korkeusmerkinnät Itäväylälle Linnanrakentajantien siltojen kohdalle;HEL 2013-013117;6246-43;
2013-137;18.10.2013;Korkeusmerkinnät Itäväylälle Marjaniementien sillan kohdalle;HEL 2013-013118;6245-43;
2013-142;18.10.2013;Suojatien poistamnen Pajalahdentieltä Vatakkujan liittymän länsipuolelta;HEL 2013-013120;Pajalahdentien suojatie;
2013-139;18.10.2013;Itäniitynpolun liiikennejärjestelyt;HEL 2013-013121;6248-4;
2013-149;25.10.2013;Pysäköintijärjestelyt Laajalahdentie 21 edustalla;HEL 2013-010716;Laajalahdentie;
2013-152;25.10.2013;Pohjolankadun pysäköintijärjestelyt;HEL 2013-012826;6240-44, 6241-44;
2013-145;25.10.2013;Rajametsäntien suojatiekoroke;HEL 2013-013057;Rajametsäntie;
2013-146;25.10.2013;Pysäköintikiellon selventäminen Merikorttitiellä;HEL 2013-013415;Merikorttitie;
2013-151;25.10.2013;Hiihtomäentien pysäköintijärjestelyt;HEL 2013-013416;6252-2, 6253-2;
2013-148;25.10.2013;Pysäköintijärjestelyt Munkkiniemen puistotie 3 ja 5 edustalla;HEL 2013-013441;Munkkiniemen puistotie;
2013-150;25.10.2013;Hirsipadontien ja Kivipadontien pysäköintijärjestelyt;HEL 2013-013448;6249-2, 6250-2;
2013-147;25.10.2013;Suojatien merkitseminen Venemestarintielle Kuusiaidan puistoraitin kohdalle;;;
2013-157;1.11.2013;Pysäköinnin kieltäminen Mariankatu 9 edustalla;HEL 2013-008484;Mariankatu;
2013-158;1.11.2013;Kuorma-autojen pysäköinnin kieltäminen Tuukkalantiellä välillä Paneliantie Aarteenetsijäntie;HEL 2013-009266;Tuukkalantie;
2013-155;1.11.2013;Alvar Aallon kadun liikenteen ohjaussuunnitelma;HEL 2013-012137;6243-3;
2013-154;1.11.2013;Töölönlahdenkadun liikenteen ohjaussuunnitelma välillä Alvar Aallon katu Elielinaukio;HEL 2013-012138;6251-4;
2013-159;1.11.2013;Ajoestetolppien asettaminen Katariinankadulle;HEL 2013-013581;Katariinankatu ;
2013-161;1.11.2013;Ajoneuvon korkeuden rajoittaminen Kyllikinportilla;HEL 2013-013775;Kyllikinportti;
2013-156;1.11.2013;Lastaus- ja purkutilan merkitseminen Satamakatu 3 edustalle;;;
2013-160;1.11.2013;Ajoneuvon korkeuden rajoittaminen Helsinginkadulla;;;
2013-164;8.11.2013;Maksullisuusajan muuttaminen Kaivokatu 1 edustan pysäköintipaikoilla;HEL 2013-013750;6255-3;
2013-163;8.11.2013;Pysäköintijärjestelyt Putkitiellä;HEL 2013-013759;Putkitie;
2013-167;15.11.2013;Pysäköinnin kieltäminen Uudenmaankatu 16 edustalla;HEL 2013-013711;Uudenmaankatu ;
2013-166;15.11.2013;CD-paikkojen merkitseminen Itäinen Puistotie 16 vastapäätä ja pysäköinnin kieltäminen Rehbinderintie 17 edustalla;HEL 2013-013873;Rehbinderintie, Itäinen Puistotie ;
2013-171;22.11.2013;Pysäköinti- ja hidastej'ärjestelyt Svinhufvudintiellä;HEL 2013-008599;6215-3;
2013-170;22.11.2013;Pysäköinnin rajoittaminen Karhusuontie 14 edustalla;HEL 2013-014663;Karhusuontie;
2013-169;22.11.2013;Uutelantien pohjoispuolella sijaitsevan yleisen pysäköintialueen liikennejärjestelyt;HEL 2013-014673;6257-3;
2013-174;13.12.2013;Ida Aalbergin tie 9 edustan kääntöpaikan pysäköintijärjestelyt;HEL 2013-015270;Ida Aalbergin tie;
2013-173;13.12.2013;Jakomäen liikekeskuksen liikenteen ohjaussuunnitelma;HEL 2013-015611;6227-1;
2013-180;20.12.2013;CD-paikkojen merkitseminen Pohjoisnen Makasiinikatu 4 edustalle ja lippuautomaattipaikkojen merkitseminen Unioninkatu 11 edustalle;HEL 2013-007451;6258-4, Unioninkatu 11 ;
2013-179;20.12.2013;Pysäköinnin kieltäminen Mariankatu 9 edustalla muilta kuin valtiovarainministriön virka-autoilta;HEL 2013-008484;Mariankatu;
2013-178;20.12.2013;Koulumestarintien ja Piikintien risteyksen kaakkoispuolella olevan pysäköintialueen merkitseminen kuorma-autoille;HEL 2013-015366;Koulumestarintie;
2013-177;20.12.2013;Mastokadun ja Kruunuvuorenkadun ajorajoitusten muutokset;HEL 2013-015871;Mastokadun ja Kruunuvuorenkadun ajorajoitusten muutokset;
2013-176;20.12.2013;Ajoneuvon suurimman sallitun korkeuden rajoittaminen 4,4 metriin;HEL 2013-015986;Pitäjänmäentie, Sörnäisten rantatie, Huokotie, Pirkkolantie;
2013-181;20.12.2013;Kehä I:n liikenteen ohjaussuunnitelma välillä Turunlinnantie/Vanhanlinnantie Itäväylä;;;
2013-182;20.12.2013;Ajoneuvon korkeuden rajoittaminen Kuvernöörintiellä;;;
2014-7;17.1.2014;Kuusikkopolun ympäristön liikennesuunnitelma;HEL 2014-000127;6266-2;
2014-4;17.1.2014;Asukaspysäköintipaikan lisääminen Tehtaankatu 32 d edustalle;HEL 2014-000181;Tehtaankatu ;
2014-3;17.1.2014;Asukaspysäköintipaikkojen lisääminen Stadionin etukentän länsireunalle;HEL 2014-000183;Stadionin etukenttä;
2014-2;17.1.2014;Pysäyttämisen kieltäminen Paavo Nurmen kuja 1 vastapäätä muilta kuin hälytysajoneuvoilta;HEL 2014-000184;Paavo Nurmen kuja;
2014-5;17.1.2014;Fredrikinkadun pysäköintijärjestelyt välillä Dagmarinkatu Arkadiankatu;HEL 2014-000186;6263-4;
2014-6;17.1.2014;Väistämmisjärjestelyt Sampo Lappalaisen kadun ja Itäreimarintien liittymässä;HEL 2014-000393;Itäreimarintie;
2014-8;17.1.2014;Jurmonkujan, Rosalankujan ja Föglönkujan liikenteen ohjaussuunnitelma;;;
2014-12;24.1.2014;Hopeakaivoksentien, Kuilukujan, Kuilukaaren ja Hakkukujan liikenteen ohjaussuunnitelma;HEL 2014-000320;6261-1;
2014-11;24.1.2014;Fallinkujan liikennejärjestelyt;HEL 2014-000479;6267-4;
2014-10;24.1.2014;Suojatien siirto Näyttelijäntie 24 kohdalla;HEL 2014-000482;6269-4;
2014-13;24.1.2014;Kivikontien eritasoliittymän ympäristön liikenteen ohjaussuunnitelma;HEL 2014-000582;6069-7;
2014-17;31.1.2014;Vuosaaren pohjoisen ostoskeskuksen ympäristön liikenteen ohjaussuunnitelma;HEL 2014-000319;6262-2;
2014-16;31.1.2014;Neljännen linjan liikennejärjestelyt välillä Läntinen Papinkatu Castreninkatu;HEL 2014-000647;6270-4;
2014-15;31.1.2014;Helenankadun pysäköintijärjestelyt;HEL 2014-000785;6272-4;
2014-20;7.2.2014;Baanan ja Mannerheimintien alatason liittymän liikenteen ohjaussuunnitelma;HEL 2014-000915;6268-3;
2014-22;7.2.2014;Lapsista varoittaminen Bulevardi 14 ja 24 väliselle osuudella;HEL 2014-001075;Bulevardi;
2014-19;7.2.2014;Metsäläntien ja Postintaipaleen liittymän reunatukijärjestelyiden tarkistaminen;HEL 2014-001306;6274-4;
2014-21;7.2.2014;Pyköintijärjestelyt Suolakivenkadulla ja Hitsaajankadulla;HEL 2014-001378;6275-4;
2014-23;7.2.2014;Pysäköinnin kieltäminen Purjehtijankuja 1 edustalla;HEL 2014-001380;Purjehtijankuja;
2014-24;7.2.2014;Kahvikorttelin alueen liikenteen ohjaussuunnitelma;HEL 2014-001425;6276-2;
2014-27;14.2.2014;Lastaus- ja purkuruudun merkitseminen Yliopistonkatu 10 dustalle;HEL 2014-001537;Yliopistonkatu;
2014-28;14.2.2014;Pysäköinnin kieltäminen ja jalkakäytävän rakentaminen Alkutie 52 ja 54 kohdalla;HEL 2014-001587;Kalervonkatu;
2014-26;14.2.2014;Pysäkkijärjestelyt Koskelantie 38 edustalla;;;
2014-32;21.2.2014;Arkadiankatu 3 edustan ajoestesuunnitelma;HEL 2014-002021;6280-4;
2014-30;21.2.2014;Pysäköintijärjestelyt Kaarelantiellä, Tanotorventiellä, Pajupillintiellä, Raitamaantiellä ja Paimenhuilunpolulla;HEL 2014-002049;6273-7;
2014-31;21.2.2014;Linja-autojen pysäköintijärjestelyt ja jalkakäytävän leventäminen Eteläinen Rautatiekatu 10-12 kohdalla;HEL 2014-002088;6281-4;
2014-33;21.2.2014;Pysäköintilaitosten P-City ja P-Forum nimen muuttaminen P-CityForumiksi;;;
2014-43;28.2.2014;Asiointipysäköintipaikkojen lisääminen Hietalahdentorille;HEL 2013-013055;Hietalahdentori;
2014-38;28.2.2014;Pysäköintijärjestelyt Pohjoisranta 4 ja Kirkkokatu 2 edustalla;HEL 2014-001467;Pohjoisranta ;
2014-35;28.2.2014;CD-paikkojen merkitseminen Yrjönkatu 16 edustalle;HEL 2014-002119;Yrjönkatu ;
2014-40;28.2.2014;Pysäyttämisen kieltäminen Snellmaninkatu 8 edustalla;HEL 2014-002262;Snellmaninkatu 8 ;
2014-36;28.2.2014;Pysäköintijärjestelyt Runeberginkatu 24-20 edustalla;HEL 2014-002263;6284-3;
2014-37;28.2.2014;Matkailuliikenteen pysäköintijärjestelyt Senaatintorin ympäristössä;HEL 2014-002265;6283-3;
2014-39;28.2.2014;Pysäköintipaikkojen merkitseminen Snellmaninkadulla Snellmaninaukion edustalla;HEL 2014-002267;Snellmaninkatu;
2014-42;28.2.2014;Viikintien ja Siilitien liittyömän tarkistettu liikennesuunnitelma;HEL 2014-002382;6282-3;
2014-41;28.2.2014;Viidennen linjan ja Porthaninkadun risteyksen liikennejärjestelyt;HEL 2014-002431;6285-4;
2014-44;28.2.2014;Pysäkkikorokejärjestelyt Porthaninkatu 2 edustalla;;;
2014-55;14.3.2014;Kuusmiehentien ja Kuusmiehenkaaren länsiosan liikenteen ohjaussuunnitelma;HEL 2014-002719;6289-54, 6290-54;
2014-50;14.3.2014;Gotlanninkadun liikennesuunnitelma;HEL 2014-002720;6288-54;
2014-48;14.3.2014;Visbynkadun liikennesuunnitelma;HEL 2014-003003;6293-4;
2014-46;14.3.2014;Hellekujan liikenteen ohjaussuunnitelma;HEL 2014-003025;6291-3;
2014-47;14.3.2014;Eteläreimarintien liikennejärjestelyt golfklubin kohdala;HEL 2014-003026;6292-4;
2014-54;14.3.2014;Kasarmikadun nopesrajoituksen tehostaminen tiemerkinnöillä;HEL 2014-003037;Kasarmikatu;
2014-52;14.3.2014;"""Lapsia"" -varoitusmerkkien poistaminen ja nopeusrajoituksen nostaminen Latokartanontien eteläpäässä ja Vanhan Helsingintien pohjoispäässä";HEL 2014-003073;Latokartanontie;
2014-49;14.3.2014;Nopeusrajoituksen alentaminen Hämeentiellä Vallilan ala-asteen kohdalla;HEL 2014-003134;Hämeentie;
2014-53;14.3.2014;Nopeusrajoituksen alentaminen Tilanhoitajankaarella Helsingin yliopiston Viikin normaalikoulun kohdalla;HEL 2014-003195;Tilanhoitajankaari;
2014-51;14.3.2014;Kirkonkyläntien ja Latokartanontien liikennesuunnitelman tarkistus Malmin aseman kohdalla;;;
2014-57;21.3.2014;Asukaspysäköintipaikkojen lisääminen Mariankatu 28 edustalle;HEL 2014-003245;Mariankatu;
2014-56;21.3.2014;Vanhan Helsingintien liikennesuunnitelman tarkistus Pihlajamäentien liittymässä;HEL 2014-003546;6299-2;
2014-60;28.3.2014;Kuusamakujan liikenteen ohjaussuunnitelma;HEL 2013-010482;6300-3;
2014-61;28.3.2014;CD-paikkojen merkitseminen Rauhankatu 1 ja 3 edustalle ja asukaspysäköintipaikkojen lisääminen Liisakatu 14 edustalla;HEL 2014-003571;Rauhankatu;
2014-59;28.3.2014;Nauvontien pohjoispään liikenteen ohjaussuunnitelma;HEL 2014-003706;6298-3;
2014-67;4.4.2014;Asukaspysäköintipaikkojen lisääminen Fredrikinkatu 67 edustalle;HEL 2014-003825;Fredrikinkatu ;
2014-65;4.4.2014;Pysäkkijärjestelyt Salpausseläntie 10 - 4 kohdalla;HEL 2014-004254;6301-3;
2014-63;4.4.2014;Viikintien eteläosan liikenteen ohjaussuunnitelma;HEL 2014-004316;6302-3;
2014-64;4.4.2014;Hiihtäjäntien liikenteen ohjaussuunnitelma ;HEL 2014-004327;6303-3;
2014-71;11.4.2014;Lastausruudun voimassaoloajan muuttaminen Töölöntorinkatu 6 edustalla;HEL 2014-002854;Töölöntorinkatu ;
2014-76;11.4.2014;Akseli Toivosen kentän osoiteviitta ;HEL 2014-004276;Akseli Toivosen kenttä;
2014-79;11.4.2014;Velodromin osoiteviitta;HEL 2014-004278;Velodromi;
2014-78;11.4.2014;Tapulikaupungin liikuntapuiston osoiteviitta;HEL 2014-004279;Tapulikaupungin liikuntapuisto;
2014-77;11.4.2014;Annalankentän osoiteviitta;HEL 2014-004286;Annalankenttä;
2014-68;11.4.2014;Liikennejärjestelyt Jakomäentie 6 kohdalla;HEL 2014-004444;6304-2;
2014-69;11.4.2014;Isonniitynkadun taksiaseman lyhentäminen;HEL 2014-004486;Isonniitynkatu;
2014-74;11.4.2014;Ruskeasuon liikuntapuiston osoiteviitat;HEL 2014-004532;Ruskeasuon liikuntapuisto;
2014-73;11.4.2014;Meilahden liikuntapuiston osoiteviitta;HEL 2014-004533;Meilahden liikuntapuisto;
2014-81;11.4.2014;Ala-Malmin liikuntapuiston osoiteviitta;HEL 2014-004535;Ala-Malmin liikuntapuisto;
2014-80;11.4.2014;Heteniitynkentän osoiteviitta;HEL 2014-004583;Heteniitynkenttä;
2014-91;11.4.2014;Vallilanlaaksonkentän viitat;HEL 2014-004652;Vallilanlaaksonkentän osoiteviitta;
2014-85;11.4.2014;Talin liikuntapuiston osoiteviitta;HEL 2014-004653;Talin liikuntapuisto;
2014-92;11.4.2014;Arabianrannan liikuntapuiston osoiteviitta;HEL 2014-004655;Arabianrannan liikuntapuisto;
2014-84;11.4.2014;Lauttasaaren liikuntapuiston osoiteviitta;HEL 2014-004659;Lauttasaaren liikuntapuisto;
2014-86;11.4.2014;Pajamäenkentän osoiteviitta;HEL 2014-004661;Pajamäenkenttä;
2014-88;11.4.2014;Vesalan liikuntapuiston osoiteviitta;HEL 2014-004666;Vesalan liikuntapuisto;
2014-87;11.4.2014;Kurkimäen liikuntapuiston osoiteviitan poistaminen;HEL 2014-004667;Kurkimäen liikuntapuisto;
2014-83;11.4.2014;Pirkkolan liikuntapuiston tienviitta;HEL 2014-004676;Pirkkolan liikuntapuisto;
2014-82;11.4.2014;Lassilan liikuntapuiston osoiteviitta;HEL 2014-004688;Lassilan liikuntapuisto;
2014-89;11.4.2014;Köökarinkentän osoiteviitta;HEL 2014-004708;Köökarinkenttä;
2014-90;11.4.2014;Latokartanon liikuntapuiston osoiteviitta;HEL 2014-004751;Latokartanon liikuntapuisto;
2014-70;11.4.2014;Invalidien ajoneuvoille pysäköintipaikka Arabiankatu 17 edustalle;;;
2014-72;11.4.2014;Pysäköinnin kieltäminen Eiranrannassa;;;
2014-75;11.4.2014;Käpylän liikuntapuiston osoiteviitta;;;
2014-96;9.5.2014;Nopeusrajoituksen alentaminen Huokotiellä Jakomäen peruskoulun kohdalla;HEL 2013-014302;Huokotie;
2014-97;9.5.2014;Pysäköinnin kieltäminen Nummitiellä Maamiehentien eteläpuolella;HEL 2014-003949;Nummitie;
2014-99;9.5.2014;Kaneravinkkelin ja Tapanilankaaren liikenteen ohjaussuunnitelma;HEL 2014-004903;6305-3;
2014-95;9.5.2014;Linja-autopysäkin rakentaminen Kivikonlaidalle Kivikonkujan liittymään;HEL 2014-004905;Kivikonkuja;
2014-98;9.5.2014;Pienkalustolinjan pysäkin merkitseminen Maasälväntie 11 edustalle;HEL 2014-005782;Maasälväntie 11 ;
2014-94;9.5.2014;Pysäköinnin kieltäminen Nissaksentiellä;HEL 2014-005861;Nissaksentie;
2014-100;9.5.2014;Polkupyörien pysäköintipaikat Urho Kekkosen katu 3-5 edustalla;HEL 2014-005942;Urho Kekkosen katu ;
2014-102;16.5.2014;Rautatientorin pysäkkikorokkeiden leventäminen;HEL 2014-005994;6314-3;
2014-103;16.5.2014;Linja-auton pysäkki Unioninkatu 21-19 edustalle ja pysäköinnin kieltäminen Arkadiankatu 24 edustalla;HEL 2014-006176;Arkadiankatu 24, Unioninkatu;
2014-106;23.5.2014;Kaistajärjestelyt Ramsaynrannalla välillä Meilahden silta Munkkiniemenaukio;HEL 2014-005933;6310-3;
2014-105;23.5.2014;Ratasmyllyntien eteläosan liikenten ohjaussuunnitelma;HEL 2014-006681;6315-1;
2014-107;23.5.2014;Pysäköinnin rajoittaminen Hämeentie 115 edustalla;HEL 2014-006813;Hämeentie 115;
2014-109;30.5.2014;Kalasataman viitoitus ja Sompasaari viitoituskohteen poistaminen;HEL 2014-006195;6312-3, 6313-3;
2014-111;30.5.2014;Moottoripyörien pysäköintipaikan siirtäminen Annankatu 21 edustalta Annankatu 18 vastapäätä;HEL 2014-006883;Annankatu ;
2014-110;30.5.2014;Töyssyn poistaminen Lampotilantieltä ja suojatien ja pyörätien jatkeen merkitseminen Lampuotilantie 40 ja 41 itäpuolella olelvan ulkoilutien kohdalle;HEL 2014-006993;Lampuotilantie;
2014-115;13.6.2014;Kuusikkopolun ympäristön liikenteen ohjaussuunnitelma;HEL 2014-005400;6309-2;
2014-114;13.6.2014;Länsisatamankdun, Kellosaarenkadun, Harmajankadun ja Kellosaarenrannan, Jaalanrannan liikenteen ohjaussuunnitelma;HEL 2014-007184;6319-2;
2014-113;13.6.2014;Taksiaseman merkitseminen Itälahdenkatu 27 edustalle;HEL 2014-007235;Itälahdenkatu;
2014-116;13.6.2014;Maununnevan ja Hakuninmaan liikenteen ohjaussuunnitelma;;;
2014-129;19.6.2014;Suojatien poistaminen Osmontieltä;HEL 2014-007775;Osmontie;
2014-121;19.6.2014;Zaidankadun pysäköintijärjestelyt;HEL 2014-007796;Zaidankatu;
2014-128;19.6.2014;Karamzininrannan liikenteen ohjausjärjestelyt;HEL 2014-007799;6341-3;
2014-126;19.6.2014;Sähköautojen latauspaikkojen tarkistaminen;HEL 2014-007822;6333-4, 6334-4, 6335-4, 6336-4, 6337-4, 6338-4, 6339-4, 6340-4;
2014-125;19.6.2014;Pysäköinnin rajoittaminen Maasälväntie 11 edustalla;HEL 2014-007868;Maasälväntie ;
2014-119;19.6.2014;Pyörätiejärjestelyt Annankadun eteläpäässä;HEL 2014-007869;6344-4;
2014-120;19.6.2014;Kinaporinkadun pysäköinöti- ja pyörätiejärjestelyt;HEL 2014-007870;6343-3;
2014-118;19.6.2014;Wallininkadun pyöräkaistat välillä Sturenkatu Alppikatu;HEL 2014-007871;6345-3;
2014-123;19.6.2014;Pysäköinnin rajoittaminen Heikinniementien eteläpäässä sijaitsevalla pysäköintialueella;HEL 2014-007915;Heikinniementie;
2014-122;19.6.2014;Johannesbergintien liikenteen ohjaussuunnitelma;HEL 2014-007919;6346-3;
2014-124;19.6.2014;Pysäköinnin kieltäminen Hitsaajankatu 10-4 edustalla;HEL 2014-007998;Hitsaajankatu;
2014-127;19.6.2014;Leskirouva Freytagin kujan ja Ilmolanraitin sulkulaitejärjestelyt;HEL 2014-008082;6347-3;
2014-140;29.8.2014;Lisäkaistan linja-auton pysäkkien rakentaminen Itäväylälle Itäkeskuksen kohdalle;HEL 2012-008474;6352-2;
2014-138;29.8.2014;Aleksis Kiven kadun, Kustaankadun ja Satamaradankadun pysäköintijärjestelyt;HEL 2013-008132;6351-2;
2014-134;29.8.2014;Malmin uimahallin osoiteviitta;HEL 2013-013915;Malmin Uimahalli ;
2014-137;29.8.2014;Liikennejärjestelyt Oinaantiellä ja Oinaankujalla;HEL 2014-010158;Oinaantie;
2014-139;29.8.2014;Vauhtitien pysäköintijärjestelyt;HEL 2014-010231;6353-2;
2014-132;29.8.2014;Risupadontien ja Kivipadontien liikennesuunnitelma;HEL 2014-010241;6354-2;
2014-133;29.8.2014;Liikkumisesteisitä varoittaminen Tinasepäntiellä ja Puusuutarintiellä ja lapsista varoittavien liikennemerkkien poistaminen Tinasepäntieltä;HEL 2014-010261;Tinasepäntie ja Puusuutarintie;
2014-136;29.8.2014;Eläinlääkärinkadun pysäköintipaikan selkeyttäminen;HEL 2014-010291;Eläinlääkärinkatu;
2014-135;29.8.2014;Sörnäisten rantatien pyörätien liikenteen ohjaussuunnitelma välillä Lintulahdenkuja Kaikukatu;HEL 2014-010292;6357-3;
2014-131;29.8.2014;Svante Olssonin puistokujan itäosan liikenteen ohjaussuunnitelma;HEL 2014-010298;6355-4;
2014-141;29.8.2014;Suojatien poistamnen Saunalahdentieltä;;;
2014-145;5.9.2014;Keskuskadun liikenteen ohjaussuunnitelma;HEL 2014-010206;6349-3;
2014-144;5.9.2014;Kallvikintien pohjoisosan liikennejärjestelyt;HEL 2014-010315;6358-2;
2014-143;5.9.2014;Visbynkujan liikennesuunnitelma;HEL 2014-010495;6356-4;
2014-147;12.9.2014;Kuninkaantammenkierron ja Paletinkierron liikenteen ohjaussuunnitelma;HEL 2014-010393;6348-34;
2014-151;12.9.2014;Pysäkki- ja saattoliikennejärjestelyt Pihkatie 11 edustalla;HEL 2014-010797;6359-4;
