Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2019-53;3.6.2019;Asukaspysäköintipaikkojen lisääminen Apollonkatu 5 edustalle ;HEL 2019-006142;Apollonkatu 5;https://paatokset.hel.fi/fi/asia/hel-2019-006142
2019-55;7.6.2019;Huoltoajon salliminen Arhotien ja Kukkaniityntien välisellä raitilla;HEL 2019-006150;6977;https://paatokset.hel.fi/fi/asia/hel-2019-006150
2019-58;14.6.2019;Kallvikinniementien liikenteen ohjaussuunnitelma;HEL 2018-006943;6980;https://paatokset.hel.fi/fi/asia/hel-2018-006943
2019-57;14.6.2019;Asema-aukion taksiasemajärjestelyt;HEL 2019-006582;6981;https://paatokset.hel.fi/fi/asia/hel-2019-006582
2019-59;14.6.2019;Puotilan uimarannan ja Juorumäen ryhmäpuutarhan ympäristön liikenteen ohjaussuunnitelma;HEL 2019-006629;6982;https://paatokset.hel.fi/fi/asia/hel-2019-006629
2019-56;14.6.2019;Pysäköintijärjestelyt Satamakatu 3 edustalla;HEL 2019-006636;6983;https://paatokset.hel.fi/fi/asia/hel-2019-006636
2019-63;28.6.2019;Sörnäistenniemen liikenteen ohjaussuunnitelma;HEL 2019-003444;6906;https://paatokset.hel.fi/fi/asia/hel-2019-003444
2019-62;28.6.2019;Koksikadun ja Vilhonvuorenkadun liikenteen ohjaussuunnitelma;HEL 2019-003446;6905;https://paatokset.hel.fi/fi/asia/hel-2019-003446
2019-61;28.6.2019;Pysäköintipaikkojen merkitseminen Laajalahdentiellä, Saunalahdentiellä ja Hollantilaisentiellä;HEL 2019-004782;6970;https://paatokset.hel.fi/fi/asia/hel-2019-004782
2019-65;28.6.2019;Paloautolla ajon salliminen Viidennellä linjalla pohjoiseen välillä Fleminginkatu Agricolankatu;HEL 2019-006692;Viides linja;https://paatokset.hel.fi/fi/asia/hel-2019-006692
2019-64;28.6.2019;Ehrenströmintien liikenteen ohjaussuunnitelma Olympiaterminaalin läheisyydessä;HEL 2019-006948;6986;https://paatokset.hel.fi/fi/asia/hel-2019-006948
2019-69;23.8.2019;Kaarelan raitin liikenteen ohjaussuunnitelma;HEL 2019-008576;6992;https://paatokset.hel.fi/fi/asia/hel-2019-008576
2019-68;23.8.2019;Punakiventien alueen liikenteen ohjaussuunnitelma;HEL 2019-008585;6990;https://paatokset.hel.fi/fi/asia/hel-2019-008585
